Scenario,Total Fleet (thousands),electricity proportion,gasoline proportion,diesel proportion,hydrogen proportion,CNG proportion,LNG proportion,LPG proportion
Cyprus_bus_2040,2774,0.213,0,0.452,0.285,0.05,0,0
Czechia_bus_2040,20489,0.213,0,0.532,0.125,0.13,0,0
Denmark_bus_2040,8684,0.213,0,0.532,0.125,0.13,0,0
Estonia_bus_2040,5327,0.39,0,0.25,0.2,0.15,0.01,0
Finland_bus_2040,10476,0.114814815,0,0.203703704,0.231481481,0.45,0,0
France_bus_2040,94523,0.48,0,0.22,0,0.3,0,0
Germany_bus_2040,80225,0.35,0,0.3,0.3,0.05,0,0
Greece_bus_2040,28034,0.060962963,0,0.602,0.287037037,0.05,0,0
Hungary_bus_2040,17723,0.213,0,0.452,0.285,0.05,0,0
Italy_bus_2040,6758,0.55,0,0.3,0.05,0,0.1,0
Ireland_bus_2040,100199,0.16,0,0.39,0.15,0.07,0.23,0
Latvia_bus_2040,3742,0.213,0,0.452,0.285,0.05,0,0
Lithuania_bus_2040,8069,0.213,0,0.452,0.285,0.05,0,0
Luxembourg_bus_2040,2217,0.95,0,0.02,0.03,0,0,0
Malta_bus_2040,2306,0.103,0,0.897,0,0,0,0
Netherlands_bus_2040,9316,0.728,0.0333,0,0.2387,0,0,0
Norway_bus_2040,15558,0.2,0,0.535,0.125,0.14,0,0
Poland_bus_2040,126547,0.2,0,0.535,0.125,0.14,0,0
Portugal_bus_2040,17300,0.3,0,0.475,0.125,0.1,0,0
Romania_bus_2040,54351,0.213,0,0.452,0.285,0.05,0,0
Slovakia_bus_2040,8282,0.213,0,0.532,0.125,0.13,0,0
Slovenia_bus_2040,2502,0.213,0,0.452,0.285,0.05,0,0
Spain_bus_2040,60998,0.2,0,0.45,0,0.35,0,0
Sweden_bus_2040,13594,0.2,0,0.535,0.125,0.14,0,0
Switzerland_bus_2040,9224,0.213,0,0.452,0.285,0.05,0,0
United_Kingdom_bus_2040,81652,0.355,0.002,0.468,0.125,0.05,0,0
Austria_bus_2050,10136,0.8,0,0,0.2,0,0,0
Belgium_bus_2050,16606,0.7,0,0,0.25,0.05,0,0
Bulgaria_bus_2050,17352,0.4,0,0.14,0.4,0.06,0,0
Croatia_bus_2050,5136,0.69,0,0.27,0,0.04,0,0
Cyprus_bus_2050,2774,0.4,0,0.14,0.4,0.06,0,0
Czechia_bus_2050,20489,0.4,0,0.22,0.23,0.15,0,0
Denmark_bus_2050,8684,0.5,0,0,0.5,0,0,0
Estonia_bus_2050,5327,0.55,0,0.05,0.35,0.05,0,0
Finland_bus_2050,10476,0.157407408,0,0,0.583333333,0.259259259,0,0
France_bus_2050,94523,0.47,0,0,0.08,0.45,0,0
Germany_bus_2050,80225,0.35,0,0.3,0.3,0.05,0,0
Greece_bus_2050,28034,0.296296296,0,0,0.703703704,0,0,0
Hungary_bus_2050,17723,0.4,0,0.14,0.4,0.06,0,0
Italy_bus_2050,6758,0.8,0,0,0.1,0,0.1,0
Ireland_bus_2050,100199,0.4,0,0.05,0.37,0.04,0.14,0
Latvia_bus_2050,3742,0.4,0,0.14,0.4,0.06,0,0
Lithuania_bus_2050,8069,0.4,0,0.14,0.4,0.06,0,0
Luxembourg_bus_2050,2217,0.87962963,0,0,0.12037037,0,0,0
Malta_bus_2050,2306,0.4,0,0.14,0.4,0.06,0,0
Netherlands_bus_2050,9316,0.5,0.1,0,0.4,0,0,0
Norway_bus_2050,15558,0.39,0,0.22,0.23,0.16,0,0
Poland_bus_2050,126547,0.39,0,0.22,0.23,0.16,0,0
Portugal_bus_2050,17300,0.6,0,0.05,0.25,0.1,0,0
Romania_bus_2050,54351,0.4,0,0.14,0.4,0.06,0,0
Slovakia_bus_2050,8282,0.4,0,0.22,0.23,0.15,0,0
Slovenia_bus_2050,2502,0.4,0,0.14,0.4,0.06,0,0
Spain_bus_2050,60998,0.65,0,0,0.2,0.15,0,0
Sweden_bus_2050,13594,0.39,0,0.22,0.23,0.16,0,0
Switzerland_bus_2050,9224,0.4,0,0.14,0.4,0.06,0,0
United_Kingdom_bus_2050,81652,0.7,0,0,0.25,0.05,0,0
Austria_truck_2030,74473,0.325,0.005424216,0.519480935,0.15,9.48E-05,0,0
Belgium_truck_2030,138807,0.1435,0.014934464,0.674658546,0.115,0.00190699,0.05,0
Bulgaria_truck_2030,53325.61,0.025,0.011601134,0.75585668,0.155,0.052542186,0,0
Croatia_truck_2030,51072,0,0.004675677,0.950303285,0.035,0.010021038,0,0
Cyprus_truck_2030,13710,0.025,0.070687255,0.696812745,0.155,0.0525,0,0
Czechia_truck_2030,186905,0.025,0.020248161,0.787103191,0.085,0.047648647,0.035,0
Denmark_truck_2030,43227,0.025,0.015925143,0.791415931,0.085,0.082658926,0,0
Estonia_truck_2030,41014,0.065,0.050295996,0.724704004,0.075,0.04,0.045,0
Finland_truck_2030,94771,0,0.013623732,0.685280345,0.148148148,0.0788737,0.074074075,0
France_truck_2030,616467,0.150000032,0.013891405,0.661021684,0.05,0.090086879,0.035,0
Germany_truck_2030,964696,0.200000092,0.004752779,0.495176735,0.1,7.04E-05,0.2,0
Greece_truck_2030,225571,0.018518519,0.108533872,0.483983935,0.175925926,0.213037749,0,0
Hungary_truck_2030,95964,0.025,0.009470091,0.757858513,0.155,0.052671396,0,0
Italy_truck_2030,48158,0.055,0.000250996,0.649749004,0.22,0,0.075,0
Ireland_truck_2030,960284,0.06,0.016518358,0.578432747,0.105,4.89E-05,0.24,0
Latvia_truck_2030,33144,0.025,0.003240033,0.764252967,0.155,0.052507,0,0
Lithuania_truck_2030,73019,0.025,0.002380276,0.765111335,0.155,0.052508389,0,0
Luxembourg_truck_2030,13966,0.415,0.000633957,0.549366043,0.035,0,0,0
Malta_truck_2030,6834.49,0.0465,0.03983666,0.90716334,0,0.0065,0,0
Netherlands_truck_2030,158108,0.136855467,0,0.660594533,0.20255,0,0,0
Norway_truck_2030,88137,0.065,0.014039173,0.745925234,0.15,0.025035593,0,0
Poland_truck_2030,1234074,0.017500035,0.039520248,0.775426045,0.085,0.082553672,0,0
Portugal_truck_2030,135000,0.1,0.004399712,0.76057207,0.1,0.035028219,0,0
Romania_truck_2030,437267,0.025,0.063835702,0.703664298,0.155,0.0525,0,0
Slovakia_truck_2030,83341,0.025,0.030194523,0.777305477,0.085,0.0825,0,0
Slovenia_truck_2030,37951,0.025,0.0045597,0.7629403,0.155,0.0525,0,0
Spain_truck_2030,571927,0.2,0.007034235,0.59293788,0.075,2.79E-05,0.125,0
Sweden_truck_2030,85554,0.065,0.014039173,0.745925234,0.15,0.025035593,0,0
Switzerland_truck_2030,61410,0.325,0.005424216,0.519480935,0.15,9.48E-05,0,0
United_Kingdom_truck_2030,740568,0.136855467,0,0.660594533,0.20255,0,0,0
Austria_truck_2040,74473,0.65,0,0.05,0.3,0,0,0
Belgium_truck_2040,138807,0.287,0.01,0.37,0.23,0.003,0.1,0
Bulgaria_truck_2040,53325.61,0.05,0,0.535,0.31,0.105,0,0
Croatia_truck_2040,51072,0,0,0.91,0.07,0.02,0,0
Cyprus_truck_2040,13710,0.05,0,0.535,0.31,0.105,0,0
Czechia_truck_2040,186905,0.05,0,0.615,0.17,0.095,0.07,0
Denmark_truck_2040,43227,0.05,0,0.615,0.17,0.165,0,0
Estonia_truck_2040,41014,0.13,0,0.55,0.15,0.08,0.09,0
Finland_truck_2040,94771,0,0,0.398148148,0.296296296,0.157407407,0.148148149,0
France_truck_2040,616467,0.3,0,0.35,0.1,0.18,0.07,0
Germany_truck_2040,964696,0.4,0,0,0.2,0,0.4,0
Greece_truck_2040,225571,0.037037037,0,0.185185185,0.351851852,0.425925926,0,0
Hungary_truck_2040,95964,0.05,0,0.535,0.31,0.105,0,0
Italy_truck_2040,48158,0.11,0,0.3,0.44,0,0.15,0
Ireland_truck_2040,960284,0.12,0,0.19,0.21,0,0.48,0
